dir_name,repository_name,file_name,search_string,taxon_key_id,taxon,scientific_name,species,kingdom,latitude,longitude,coordinate_precision_accuracy,observation_date,location_name,country,region,continent
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5415455,,Acanthus mollis L.,Acanthus mollis,Plantae,58.39754,15.49498,,2021-11-08,"Sweden, Europe",Sweden,Northern Europe,Europe
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5415455,,Acanthus mollis L.,Acanthus mollis,Plantae,55.55074,12.91267,,2022-05-28,"Sweden, Europe",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5415455,,Acanthus mollis L.,Acanthus mollis,Plantae,55.55071,12.91246,,2020-08-06,"Sweden, Europe",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5415455,,Acanthus mollis L.,Acanthus mollis,Plantae,48.95505,2.31397,,2015-06-18,"France, Europe",France,Western Europe,Europe
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5415455,,Acanthus mollis L.,Acanthus mollis,Plantae,55.55066,12.91239,,2020-09-02,"Sweden, Europe",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5415455,,Acanthus mollis L.,Acanthus mollis,Plantae,55.55072,12.91264,,2022-06-24T10:40/2022-06-24T10:50,"Sweden, Europe",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5415455,,Acanthus mollis L.,Acanthus mollis,Plantae,55.55074,12.91268,,2022-05-20,"Sweden, Europe",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,3021135,,Prunus ×eminens Beck,Prunus eminens,Plantae,48.06139,16.295279,,1935-05-05,"Austria, Europe",Austria,Western Europe,Europe
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5415455,,Acanthus mollis L.,Acanthus mollis,Plantae,55.55073,12.91244,,2020-08-08,"Sweden, Europe",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5663797,,Viola eminens K.R.Thiele & Prober,Viola eminens,Plantae,-34.414642,150.809691,1e-09,2022-07-01,"Australia, Oceania",Australia,Australia and New Zealand,Oceania
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5415455,,Acanthus mollis L.,Acanthus mollis,Plantae,47.15955,2.71564,,2001-09-02,"France, Europe",France,Western Europe,Europe
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5415455,,Acanthus mollis L.,Acanthus mollis,Plantae,55.55076,12.91264,,2022-05-28,"Sweden, Europe",,,
